small_area,precinct,weight
2991267,MOTHERWELL,0.000165663641832
2991352,MOTHERWELL,0.00762183275225
2990828,MOTHERWELL,0.00605443972658
2991181,MOTHERWELL,0.00705839081492
2990679,MOTHERWELL,0.00567539696874
2991335,MOTHERWELL,0.00757061075794
2991492,MOTHERWELL,0.00367613097862
2990648,MOTHERWELL,0.00559344177786
2991635,MOTHERWELL,1.22732229077e-05
2991497,MOTHERWELL,0.0083184503979
2991341,MOTHERWELL,0.0075808551568
2991002,MOTHERWELL,0.00651382877657
2990776,MOTHERWELL,0.00591101814254
2991143,MOTHERWELL,0.00693545802859
2990569,MOTHERWELL,0.00537830940179
2991220,MOTHERWELL,8.21472230703e-06
2991001,MOTHERWELL,0.0065006667359
2991383,MOTHERWELL,0.00775500993743
2991047,MOTHERWELL,0.0066486148605
2991415,MOTHERWELL,0.00793034053244
2991506,MOTHERWELL,1.20819794776e-06
2991080,MOTHERWELL,0.0067510588491
2990866,MOTHERWELL,0.00615688371519
2990641,MOTHERWELL,0.005583197379
2990507,MOTHERWELL,0.00521439902002
2990488,MOTHERWELL,0.00514268822799
2990786,MOTHERWELL,0.00594175133912
2991006,MOTHERWELL,0.00651543767531
2991748,MOTHERWELL,0.0109307735842
2991477,MOTHERWELL,0.00822625228502
2991275,MOTHERWELL,0.00733498958415
2991366,MOTHERWELL,0.00766281034769
2991646,MOTHERWELL,0.00945558014829
2991794,MOTHERWELL,0.0141372704276
2991730,MOTHERWELL,0.0106336860172
2991607,MOTHERWELL,0.00910727058703
2991454,MOTHERWELL,0.00814429709413
2991776,MOTHERWELL,0.0122932786327
2991597,MOTHERWELL,0.00904580419386
2991792,MOTHERWELL,0.0138504272595
2991719,MOTHERWELL,0.0104492868378
2990723,MOTHERWELL,0.00572737140557
2991055,MOTHERWELL,0.00664463175152
2990762,MOTHERWELL,0.00588028494595
2990426,MOTHERWELL,0.00492755585192
2990162,MOTHERWELL,0.00370847238752
2990477,MOTHERWELL,0.00494136701038
2990589,MOTHERWELL,0.000174491986975
2991037,MOTHERWELL,0.00662812606277
2990565,MOTHERWELL,0.00536779625606
2990915,MOTHERWELL,0.00626957210265
2990810,MOTHERWELL,0.00601346213114
2990344,MOTHERWELL,0.00455875749294
2990442,MOTHERWELL,0.00497877784623
2990481,MOTHERWELL,0.00512219943027
2990666,MOTHERWELL,0.00562417497444
2990668,MOTHERWELL,0.0056344193733
2990731,MOTHERWELL,0.00578808535621
2990744,MOTHERWELL,0.00582904729881
2990751,MOTHERWELL,0.00585979614823
2990835,MOTHERWELL,0.00608517292317
2990897,MOTHERWELL,0.00621835010835
2990929,MOTHERWELL,0.00630030529924
2990930,MOTHERWELL,0.0063105496981
2990986,MOTHERWELL,0.00646421568101
2991104,MOTHERWELL,0.00682276964112
2991125,MOTHERWELL,0.00689448043315
2991752,MOTHERWELL,0.0110434619717
2990752,MOTHERWELL,0.00585019167653
2991103,MOTHERWELL,0.00681479535835
2991129,MOTHERWELL,0.00690472483201
2991347,MOTHERWELL,0.00761158835339
2991771,MOTHERWELL,0.0119552134703
2990003,MOTHERWELL,1.7580512281e-07
2991283,MOTHERWELL,0.00736572278073
2990865,MOTHERWELL,0.00615688371519
2991032,MOTHERWELL,0.00661788166391
2991329,MOTHERWELL,0.00755012196022
2990946,MOTHERWELL,0.0063617716924
2991155,MOTHERWELL,0.00697643562403
2990843,MOTHERWELL,0.00609541732203
2991146,MOTHERWELL,0.00694570242745
2991233,MOTHERWELL,0.0071739588726
2990427,MOTHERWELL,0.00493780025078
2990687,MOTHERWELL,0.0056856413676
2991016,MOTHERWELL,0.00654617087189
2991801,MOTHERWELL,0.0199458445815
2990461,MOTHERWELL,0.00504024423939
2990632,MOTHERWELL,0.00555246418242
2990452,MOTHERWELL,0.00502999984053
2991018,MOTHERWELL,0.00655641527075
2990949,MOTHERWELL,0.00637201609126
2991234,MOTHERWELL,0.0071915680001
2990919,MOTHERWELL,0.00626957210265
2990983,MOTHERWELL,0.00645632913399
2990808,MOTHERWELL,0.00600321773228
2990981,MOTHERWELL,0.00645397128214
2990823,MOTHERWELL,0.00603395092886
2990932,MOTHERWELL,0.00633103849582
2990782,MOTHERWELL,0.0059212625414
2990365,MOTHERWELL,0.00465095708269
2990563,MOTHERWELL,0.00535782060407
2990612,MOTHERWELL,0.00550124218811
2990014,MOTHERWELL,6.53048029155e-06
2991021,MOTHERWELL,0.00656665966961
2990697,MOTHERWELL,0.00571637456419
2990714,MOTHERWELL,0.00575735215963
2991145,MOTHERWELL,0.00694214143192
2990883,MOTHERWELL,0.00618761691177
2990472,MOTHERWELL,0.00509128405156
2990011,MOTHERWELL,1.50989385899e-06
2991356,MOTHERWELL,0.00763207715111
2990591,MOTHERWELL,0.00542953139609
2990561,MOTHERWELL,0.00508964300154
2991056,MOTHERWELL,0.00668959245594
2990728,MOTHERWELL,0.00577784095735
2991593,MOTHERWELL,0.009035559795
2990182,MOTHERWELL,0.00381091637612
2990761,MOTHERWELL,0.00588028494595
2990661,MOTHERWELL,0.00562417497444
2991164,MOTHERWELL,0.00700716882061
2990699,MOTHERWELL,0.00571637456419
2990673,MOTHERWELL,0.00565490817102
2991328,MOTHERWELL,0.00753987756136
2990557,MOTHERWELL,2.20085461725e-06
2991240,MOTHERWELL,0.00670630164166
2991302,MOTHERWELL,0.00746816676934
2990478,MOTHERWELL,0.00511195503141
2990717,MOTHERWELL,2.44995347422e-06
2990794,MOTHERWELL,0.00596224013684
2990795,MOTHERWELL,0.00596224013684
2990875,MOTHERWELL,0.00616712811405
2991017,MOTHERWELL,0.00655641527075
2991038,MOTHERWELL,0.00662812606277
2991044,MOTHERWELL,0.00663837046163
2991091,MOTHERWELL,0.00678179204568
2991351,MOTHERWELL,0.00762183275225
2991587,MOTHERWELL,0.00896384900298
2990352,MOTHERWELL,0.00457924629066
2990374,MOTHERWELL,0.00470217907699
2990464,MOTHERWELL,0.00505048863825
2990767,MOTHERWELL,0.00589052934481
2990974,MOTHERWELL,0.00643348248442
2991089,MOTHERWELL,0.00678179204568
2991095,MOTHERWELL,0.00679203644454
2991106,MOTHERWELL,0.00682276964112
2991148,MOTHERWELL,0.00695594682631
2991340,MOTHERWELL,0.00753194359242
2990184,KWADWESI,0.0068232595299
2990816,KWADWESI,0.0108200962936
2991806,KWADWESI,0.000588919795883
2990268,KWADWESI,0.00767343563679
2990509,KWADWESI,0.00938477739752
2990379,KWADWESI,0.00846470118207
2990010,KWADWESI,1.29841700642e-08
2990002,KWADWESI,8.4137178855e-08
2991077,KWADWESI,0.000606369305265
2991509,KWADWESI,0.0149262065442
2991502,KWADWESI,0.0149972423117
2991513,KWADWESI,0.0151076514576
2991211,KWADWESI,0.0128258624433
2990155,KWADWESI,0.000639610413042
2991203,KWADWESI,0.0127706578703
2990433,KWADWESI,0.000694263123073
2990862,KWADWESI,0.000222723693639
2991182,KWADWESI,0.00444154865736
2990772,KWADWESI,0.0105992780019
2991394,KWADWESI,0.014003559999
2991196,KWADWESI,0.0127338548217
2991430,KWADWESI,0.0143899920095
2990172,KWADWESI,0.00672252024714
2990147,KWADWESI,0.00643800495172
2991271,KWADWESI,0.0131754914051
2990964,KWADWESI,0.011500952693
2990401,KWADWESI,0.00868551947378
2990312,KWADWESI,0.00793105697712
2991113,KWADWESI,0.0122922182383
2990489,KWADWESI,0.00923756520304
2990638,KWADWESI,0.010010429224
2990847,KWADWESI,0.0109673084881
2990377,KWADWESI,0.00844629965776
2990318,KWADWESI,0.00798626155004
2990395,KWADWESI,0.00863031490085
2990483,KWADWESI,0.00920076215443
2990179,KWADWESI,0.00682696551858
2990063,KWADWESI,0.00572287406005
2990540,KWADWESI,0.0095503911163
2990439,KWADWESI,0.00892473928979
2990609,KWADWESI,0.000165211363427
2990198,KWADWESI,0.00699257923736
2990301,KWADWESI,0.00787585240419
2990793,KWADWESI,0.0107096871478
2990527,KWADWESI,0.00949518654337
2990600,KWADWESI,0.00980801245662
2990498,KWADWESI,0.00927436825166
2990232,KWADWESI,0.00734220819923
2990061,KWADWESI,0.00563086643851
2991248,KWADWESI,0.0129914761621
2990217,KWADWESI,0.00717659448045
2990833,KWADWESI,0.0108937023908
2990928,KWADWESI,0.011255843708
2990879,KWADWESI,0.00130654009833
2991127,KWADWESI,0.0123842258599
2990042,KWADWESI,0.000461368464055
2990608,KWADWESI,0.00964666551453
2990681,KWADWESI,0.00653073565551
2990624,KWADWESI,0.00993682312678
2990712,KWADWESI,2.13962358444e-07
2991481,KWADWESI,0.0116030485979
2991195,KWADWESI,0.0127338548217
2990855,KWADWESI,0.0110041115367
2990350,KWADWESI,0.00820707984175
2990437,KWADWESI,0.00140601599067
2991418,KWADWESI,0.00107969128759
2991161,KWADWESI,2.36858404289e-05
2990620,KWADWESI,0.00991842160247
2990428,KWADWESI,0.00886953471687
2990649,KWADWESI,0.0100472322726
2991004,KWADWESI,0.0116804357653
2991652,KWADWESI,1.60953044203e-05
2990029,KWADWESI,0.00249858323803
2990829,KWADWESI,0.0108937023908
2991134,KWADWESI,0.0124210289085
2990111,KWADWESI,0.00610930607054
2990894,KWADWESI,0.0111697252555
2991007,KWADWESI,0.0117217709847
2990368,KWADWESI,0.00837269356053
2990948,KWADWESI,0.0114457481201
2990644,KWADWESI,0.0100472322726
2990274,KWADWESI,0.00771012783212
2990903,KWADWESI,0.0111881267798
2990502,KWADWESI,0.00929276977597
2990748,KWADWESI,0.0104035214826
2990078,KWADWESI,0.00587008625452
2990844,KWADWESI,0.0109489069638
2990556,KWADWESI,0.00960559568922
2990584,KWADWESI,0.00969760331077
2990841,KWADWESI,0.0109489069638
2990771,KWADWESI,0.0105808764776
2990551,KWADWESI,0.00958719416491
2991472,KWADWESI,0.0145463184468
2991530,KWADWESI,0.0150342447626
2990905,KWADWESI,0.0112065283041
2991695,KWADWESI,0.00069159318433
2991187,KWADWESI,0.0126970517731
2990028,KWADWESI,0.000481013123644
2991417,KWADWESI,0.000995439498049
2990139,KWADWESI,0.000518954097047
2990819,KWADWESI,0.00084884495974
2990899,KWADWESI,0.0111881267798
2990933,KWADWESI,0.0113721420229
2990985,KWADWESI,0.0116113618389
2991012,KWADWESI,0.011740172509
2991192,KWADWESI,0.0127338548217
2991204,KWADWESI,0.0127706578703
2991259,KWADWESI,0.0130834837836
2991280,KWADWESI,0.0132306959781
2991309,KWADWESI,0.0134515142698
2991374,KWADWESI,0.0138237377866
2991380,KWADWESI,0.0139115523775
2991424,KWADWESI,0.0143163859123
2990707,KWADWESI,0.00965033734924
2990832,KWADWESI,0.00092380405864
2990486,KWADWESI,0.00338688238065
2991264,KWADWESI,0.00213011186808
2991239,KWADWESI,0.00149956529579
2991799,KWADWESI,0.00157442020481
2990116,KWADWESI,0.00608940079149
2991163,KWADWESI,0.00189330409909
2990296,KWADWESI,0.000653841554696
2780084,CRADOCK,1.43300204989e-07
2790012,CRADOCK,2.44731617569e-06
2790035,CRADOCK,6.67074182317e-06
2790033,CRADOCK,2.34341578773e-06
2780066,CRADOCK,0.0124221483857
2780035,CRADOCK,0.00949390714559
2780078,CRADOCK,0.0133372237732
2780047,CRADOCK,0.0110266584197
2780021,CRADOCK,0.0079154021021
2780090,CRADOCK,0.0146412062004
2780091,CRADOCK,0.0146640830851
2780067,CRADOCK,0.0124450252704
2780116,CRADOCK,0.0207493344122
2780083,CRADOCK,0.0137032539282
2780086,CRADOCK,0.0138862690057
2780045,CRADOCK,0.0107978895728
2780056,CRADOCK,0.0119188569225
2780113,CRADOCK,0.0201316585256
2780112,CRADOCK,0.0195597364084
2780109,CRADOCK,0.0174550630171
2780052,CRADOCK,0.0117129649603
2780105,CRADOCK,0.0169060177846
2780007,CRADOCK,0.00523880659359
2780057,CRADOCK,0.0119646106919
2780110,CRADOCK,0.0190335680606
2780073,CRADOCK,0.0128568091947
2780037,CRADOCK,0.00969979910778
2780051,CRADOCK,0.0116900880757
2780049,CRADOCK,0.0115299498828
2780097,CRADOCK,0.0155791584726
2780029,CRADOCK,0.00864746241213
2780024,CRADOCK,0.00837293979587
2780048,CRADOCK,0.0110495353044
2780055,CRADOCK,0.0118502262685
2780077,CRADOCK,0.0132685931191
2780054,CRADOCK,0.0117815956144
2780119,CRADOCK,0.0222363319169
2780085,CRADOCK,0.0138405152363
2780115,CRADOCK,0.0204290580265
2780102,CRADOCK,0.0162425881286
2780074,CRADOCK,0.0130169473876
2780099,CRADOCK,0.015990942397
2780117,CRADOCK,0.0207877347664
2780080,CRADOCK,0.0135202388507
2780121,CRADOCK,0.0247520564544
2780061,CRADOCK,0.0121476257694
2790023,CRADOCK,0.000278699965263
2620072,CRADOCK,1.71270567983e-06
2620056,CRADOCK,4.64770690618e-06
2770013,CRADOCK,9.78755711267e-06
2780093,CRADOCK,0.0137013202812
2770005,CRADOCK,1.16471782091e-05
2780014,CRADOCK,0.00729363093392
2780122,CRADOCK,0.0290765204387
2780031,CRADOCK,0.00883044886814
2780104,CRADOCK,0.0167916333611
2780002,CRADOCK,0.00112096734972
2780003,CRADOCK,0.00185302765974
2780046,CRADOCK,0.0108436433422
2780043,CRADOCK,0.0104547363025
2780028,CRADOCK,0.00864746241213
2780063,CRADOCK,0.0123077639622
2780038,CRADOCK,0.00983706041591
2780071,CRADOCK,0.0127195478866
2780036,CRADOCK,0.00953966091496
2780059,CRADOCK,0.0120789951154
2780019,CRADOCK,0.00786964833273
2780026,CRADOCK,0.00855595487337
2780065,CRADOCK,0.0123535177316
2780039,CRADOCK,0.00988281418529
2780076,CRADOCK,0.0132685931191
2780030,CRADOCK,0.00871609306619
2780012,CRADOCK,0.00729772621552
2780072,CRADOCK,0.0128110554254
2780060,CRADOCK,0.0121476257694
2780016,CRADOCK,0.00759512571647
2780079,CRADOCK,0.0133372237732
2780081,CRADOCK,0.0135888695048
2780087,CRADOCK,0.0139548996598
2780088,CRADOCK,0.0139548996598
2780089,CRADOCK,0.0146412062004
2780092,CRADOCK,0.0146869599698
2780095,CRADOCK,0.0150529901248
2780114,CRADOCK,0.0201316585256
2790008,CRADOCK,5.3148044665e-05
2610008,CRADOCK,7.55896879802e-06
2620010,CRADOCK,0.000107161928347
2780041,CRADOCK,0.0101255768722
2780100,CRADOCK,0.0161460057708
2610018,CRADOCK,4.71810176449e-06
2780008,CRADOCK,5.68881187596e-07
3780036,NOENIEPUT,0.0996984860629
3770006,NOENIEPUT,0.172822338694
3770005,NOENIEPUT,0.350337460865
3770001,NOENIEPUT,0.208509213753
3790009,NOENIEPUT,0.071668740844
3790006,NOENIEPUT,0.0969439931233
3790008,NOENIEPUT,1.29558309198e-05
3790012,NOENIEPUT,6.81082743685e-06
2850004,INDWE,0.000404184553429
2850116,INDWE,2.68106800086e-06
2870119,INDWE,0.0352492253842
2870317,INDWE,5.40525904481e-07
2880032,INDWE,4.36572936466e-06
2830143,INDWE,0.0326664314747
2830301,INDWE,0.078838918011
