ward_id,small_area,weight
10101001,1600058,0.000442147355945
10101001,1600042,0.00339505625929
10101001,1600063,0.955858776665
10101001,1600027,1.0
10101001,1600045,1.0
10101001,1600030,1.0
10101001,1600025,1.0
10101001,1600028,1.0
10101001,1600062,0.996384667431
10101001,1600043,0.854239055735
10101001,1600001,0.984754992491
10101001,1600017,0.385717942003
10101001,1600034,0.995407356157
10101001,1600008,1.99682071167e-05
10101001,1600083,0.000322232744433
10101001,1600044,0.162598787561
10101001,1600007,0.000381328916935
10101001,1600005,5.27722349205e-06
10101002,1600085,0.000652328621066
10101002,1600040,0.000276354149173
10101002,1600051,1.0
10101002,1600052,0.999930651238
10101002,1600035,0.00012639338589
10101002,1600076,0.999980270794
10101002,1600072,0.00327447489254
10101002,1600046,0.00038496097459
10101002,1600070,0.751776470536
10101002,1600081,1.11651908197e-05
10101002,1600091,0.993630307833
10101002,1600075,0.99505935336
10101002,1600086,7.62706986116e-05
10101002,1600002,0.996860119973
10101002,1600042,0.00285550911674
10101002,1600001,0.0134606838613
10101002,1600092,0.999918110354
10101002,1600034,0.000949880463619
10101002,1600071,1.0
10101002,1600073,1.0
10101002,1600084,1.0
10101002,1600008,0.953427578921
10101002,1600083,0.979809202069
10101002,1600044,0.73869882785
10101002,1600007,0.000961822068202
10101003,1600085,0.998350957275
10101003,1600094,0.979490653359
10101003,1600075,0.000863611924335
10101003,1600037,0.0151772756778
10101003,1600014,0.00370083902612
10101003,1600060,1.0
10101003,1600013,0.478344534216
10101003,1600018,1.0
10101003,1600009,0.0222935028161
10101003,1600022,1.0
10101003,1600011,0.997212306768
10101003,1600041,0.998602724415
10101003,1600015,0.994856357522
10101003,1600033,0.998591475842
10101003,1600068,0.999950563692
10101003,1600021,0.243397410876
10101003,1600029,0.000161049138304
10101003,1600004,0.0013593643945
10101003,1600086,0.153803492746
10101003,1600058,0.000602601439309
10101003,1600002,0.00239987520168
10101003,1600042,0.571000592409
10101003,1600044,4.00524580681e-05
10101003,1600005,3.04411777385e-05
10101004,1600085,0.000427135488219
10101004,1600094,0.0205093466411
10101004,1600035,0.000114509784949
10101004,1600006,0.000283973355509
10101004,1600023,0.44529646428
10101004,1600091,0.00518848532143
10101004,1600075,0.000133159599077
10101004,1600037,0.984822724322
10101004,1600066,1.0
10101004,1600014,0.995660171848
10101004,1600013,0.521655465784
10101004,1600009,0.977706497184
10101004,1600011,0.00278769323205
10101004,1600041,0.00139727558483
10101004,1600015,0.00514364247841
10101004,1600033,0.00140852438296
10101004,1600068,4.9436307657e-05
10101004,1600021,0.756602589124
10101004,1600029,0.999838950861
10101004,1600004,0.998640638001
10101004,1600020,1.0
10101004,1600086,0.846045347592
10101004,1600005,2.8829967722e-06
10101005,1600040,0.901352506165
10101005,1600010,0.320770505285
10101005,1600035,0.999759096829
10101005,1600082,0.379102756233
10101005,1600016,1.0
10101005,1600006,0.999716026644
10101005,1600023,0.55470353572
10101005,1600072,0.996725525107
10101005,1600078,1.0
10101005,1600046,0.999615039025
10101005,1600074,1.0
10101005,1600070,0.248223529464
10101005,1600081,0.999988834809
10101005,1600091,0.00118120684532
10101005,1600075,0.00394387511692
10101005,1610006,9.11623993909e-07
10101005,1600014,0.000514319681592
