precinct,population
KLEINVLEI,96589.29901704994
JERICHO,26813.581271444098
SPRINGBOK,14374.725395674785
LADY GREY,8139.976771127184
MORGENZON TRANSVAAL,11932.420398039529
VIERFONTEIN,9264.283812573272
CHARL CILLIERS,3171.646967446527
TOKOZA,97476.01972008763
SENEKAL,29094.223189839937
EZAKHENI,92261.08074139588
BAYVIEW,38318.858586529204
MAHLABATHINI,58791.14417642614
GOWAN LEA,22565.845761262142
UPPER TUGELA,28434.1889307311
CAMPS BAY,5523.654109667895
CRADOCK,43712.245510308385
IVORY PARK,277053.3963255699
PRIMROSE,66043.17711906362
BELLAIR,25319.922716196965
PETRUSVILLE,5610.177666712176
TUINPLAAS,1992.6103102967975
LETSITELE,77872.12787158591
BOTLOKWA,58979.10912784656
BELMONT,750.4429723459019
HARTSWATER,13353.021894052168
KAMEELDRIFT,16263.877955662712
UMBILO,40746.57043982506
NTUZUMA,117340.29298521567
GROBLERSDAL,21385.05041907448
MALVERN,38456.8291358161
MONDLO,100187.96836244868
VERENA,23068.96078578324
ST HELENA BAY,11318.77613389596
GRASKOP,4835.707385481668
RANDBURG,46537.15742063538
PORT ALFRED,8805.779780417979
MACASSAR,35030.029916873245
LANGA,47482.09754559641
ITSOSENG,58571.12730135066
SAAMBOUBRUG,1302.3568271225497
TROMPSBURG,6299.1965222748095
GRABOUW,42174.6901772205
BATLHAROS,21285.098792816036
VOSMAN,202605.87557786301
CALVINIA,10648.060120062331
PARK ROAD,79206.00907640309
THABA-NCHU,15666.58571953039
CENTANE,78962.10681224377
SHEEPMOOR,8493.51060309563
AUGRABIES,14378.645598071089
ALEXANDRA ROAD,86479.40752812989
MALELANE,11570.756609255224
ATTERIDGEVILLE,170121.87092176592
SUTHERLAND,3969.116683397473
PRETORIA WEST,98787.26717271595
BEAUFORT WEST,40076.21446043982
KWAMBONAMBI,89399.19453359392
HAMMANSKRAAL,53046.3192507621
KEIMOES,16944.122698376847
WARRENTON,23031.898337596696
MANKWENG,198514.41425114436
MEHLOMNYAMA,30948.136129206803
JANSENVILLE,7005.21371824831
PIENAARSRIVIER,3085.2493757222305
KUBUSIEDRIFT,515.2320464573687
GIYANI,229601.8125693226
KAGISO,178164.3230763071
WRENCHVILLE,7316.9404286278705
STRANDFONTEIN,28257.48048728643
KWADABEKA,108559.1581450958
FLAGSTAFF,135086.1940741196
WEDELA,25324.76677665236
KWAMHLANGA,126795.70255263279
DANIELSKUIL,13955.280228346424
THE BARRAGE,10050.367848902433
